127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/fixed_columns/fixedColumns.bootstrap4.min.css, HTTP/1.1, 200, 0.001665
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/buttons/buttons.bootstrap4.min.css, HTTP/1.1, 200, 0.003516
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/fixedHeader/fixedHeader.bootstrap4.min.css, HTTP/1.1, 200, 0.002437
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/colReorder/colReorder.bootstrap4.min.css, HTTP/1.1, 200, 0.003976
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/responsive/responsive.dataTables.min.css, HTTP/1.1, 200, 0.003040
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/rowReorder/rowReorder.dataTables.min.css, HTTP/1.1, 200, 0.002016
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/scroller/scroll.min.css, HTTP/1.1, 200, 0.001515
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/keyTable/keyTable.dataTables.min.css, HTTP/1.1, 200, 0.002538
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/rowGroup/rowGroup.dataTables.min.css, HTTP/1.1, 200, 0.002016
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/select/select.dataTables.min.css, HTTP/1.1, 200, 0.001515
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/jquery_datatable/jquery.dataTables.min.js, HTTP/1.1, 200, 0.004339
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/autofill_datatable/dataTables.autoFill.min.js, HTTP/1.1, 200, 0.002239
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/autofill_datatable/autoFill.bootstrap4.min.js, HTTP/1.1, 200, 0.003340
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/jszip.min.js, HTTP/1.1, 200, 0.002840
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/jquery_datatable/dataTables.bootstrap4.min.js, HTTP/1.1, 200, 0.003840
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/vfs_fonts.js, HTTP/1.1, 200, 0.002268
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/buttons_export/buttons.colVis.min.js, HTTP/1.1, 200, 0.001601
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/buttons_export/buttons.flash.min.js, HTTP/1.1, 200, 0.001408
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/buttons_export/buttons.html5.min.js, HTTP/1.1, 200, 0.001888
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/buttons_export/buttons.print.min.js, HTTP/1.1, 200, 0.001043
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/colReorder/dataTables.colReorder.min.js, HTTP/1.1, 200, 0.001190
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/fixed_columns/dataTables.fixedColumns.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/fixedHeader/dataTables.fixedHeader.min.js, HTTP/1.1, 200, 0.001500
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/keyTable/dataTables.keyTable.min.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/responsive/dataTables.responsive.min.js, HTTP/1.1, 200, 0.001669
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/rowGroup/dataTables.rowGroup.min.js, HTTP/1.1, 200, 0.001586
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/rowReorder/dataTables.rowReorder.min.js, HTTP/1.1, 200, 0.001316
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/scroller/dataTables.scroller.min.js, HTTP/1.1, 200, 0.000690
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/select/dataTables.select.min.js, HTTP/1.1, 200, 0.001138
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/moment.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2022-02-16 08:57:53, GET, /TuNota/static/plantilla/vendor/datatables/moment.dataTables.js, HTTP/1.1, 200, 0.000621
127.0.0.1, 2022-02-16 09:01:14, GET, /, HTTP/1.1, 400, 0.000501
127.0.0.1, 2022-02-16 09:01:14, GET, /favicon.ico, HTTP/1.1, 400, 0.001018
127.0.0.1, 2022-02-16 09:01:37, GET, /, HTTP/1.1, 200, 0.030432
127.0.0.1, 2022-02-16 09:01:38, GET, /images/bg-title-01.jpg, HTTP/1.1, 404, 0.013151
127.0.0.1, 2022-02-16 09:04:39, GET, /, HTTP/1.1, 200, 0.049819
127.0.0.1, 2022-02-16 09:04:39, GET, /images/bg-title-01.jpg, HTTP/1.1, 404, 0.020876
127.0.0.1, 2022-02-16 09:04:43, GET, /base_datos/importar, HTTP/1.1, 200, 0.044587
127.0.0.1, 2022-02-16 09:04:46, POST, /base_datos/importar, HTTP/1.1, 200, 0.042233
127.0.0.1, 2022-02-16 09:05:01, GET, /asignatura/administrar, HTTP/1.1, 200, 0.044119
127.0.0.1, 2022-02-16 09:05:01, GET, /TuNota/static/notas1/vendor/font-awesome-4.7/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.001021
127.0.0.1, 2022-02-16 09:05:28, GET, /asignatura/administrar, HTTP/1.1, 303, 0.007992
127.0.0.1, 2022-02-16 09:05:28, GET, /usuario/login, HTTP/1.1, 200, 0.017047
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/vendor/login/css/bootstrap.min.css, HTTP/1.1, 200, 0.000625
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/vendor/layout_ela/mi_estilo.css, HTTP/1.1, 200, 0.002331
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/vendor/layout_ela/css/style.css, HTTP/1.1, 200, 0.002331
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/vendor/login/css/font-awesome.min.css, HTTP/1.1, 200, 0.003208
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/vendor/layout_ela/css/helper.css, HTTP/1.1, 200, 0.002688
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.002688
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/css/calendar.css, HTTP/1.1, 200, 0.001500
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/js/calendar.js, HTTP/1.1, 200, 0.001338
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/vendor/login/js/jquery.min.js, HTTP/1.1, 200, 0.001171
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/js/web2py.js, HTTP/1.1, 200, 0.001510
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/vendor/login/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000500
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/vendor/login/js/jquery.backstretch.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/notas/css/buttons.css, HTTP/1.1, 404, 0.000500
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/js/jquery.js, HTTP/1.1, 200, 0.001314
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001313
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/notas1/images/icon/logop2.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/vendor/login/js/jquery.easing.min.js, HTTP/1.1, 200, 0.001132
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/images/portada1.jpg, HTTP/1.1, 200, 0.001018
127.0.0.1, 2022-02-16 09:05:28, GET, /TuNota/static/images/favicon3.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2022-02-16 09:06:26, POST, /usuario/login, HTTP/1.1, 303, 0.023597
127.0.0.1, 2022-02-16 09:06:26, GET, /, HTTP/1.1, 200, 0.034662
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/css/font-face.css, HTTP/1.1, 200, 0.002929
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/bootstrap-4.1/bootstrap.min.css, HTTP/1.1, 200, 0.001542
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/bootstrap-progressbar/bootstrap-progressbar-3.3.4.min.css, HTTP/1.1, 200, 0.000581
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/font-awesome-5/css/fontawesome-all.min.css, HTTP/1.1, 200, 0.001500
127.0.0.1, 2022-02-16 09:06:26, GET, /TuNota/static/notas1/vendor/css-hamburgers/hamburgers.min.css, HTTP/1.1, 200, 0.001500
